Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,50,Bangladesh,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,191743,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,44,Bahamas,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,195990,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,76,Brazil,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,714177,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,96,Brunei Darussalam,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,25576,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,104,Myanmar,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,153441,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,124,Canada,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3699350,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,144,Sri Lanka,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,958661,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,152,Chile,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,8508631,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,156,China,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,28603431,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,180,Dem.Rep. of the Congo,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,46,,,0
